__typename,dateString,countryCode,countryName,postingType,value
HiringLabNationalPosting,2020-09-29,US,United States,TOTAL,93.04
HiringLabNationalPosting,2020-09-30,US,United States,TOTAL,93.19
HiringLabNationalPosting,2020-10-01,US,United States,TOTAL,93.22
HiringLabNationalPosting,2020-10-02,US,United States,TOTAL,93.25
HiringLabNationalPosting,2020-10-03,US,United States,TOTAL,93.36
HiringLabNationalPosting,2020-10-04,US,United States,TOTAL,93.43
HiringLabNationalPosting,2020-10-05,US,United States,TOTAL,93.5
HiringLabNationalPosting,2020-10-06,US,United States,TOTAL,93.49
HiringLabNationalPosting,2020-10-07,US,United States,TOTAL,93.57
HiringLabNationalPosting,2020-10-08,US,United States,TOTAL,93.83
HiringLabNationalPosting,2020-10-09,US,United States,TOTAL,94.1
HiringLabNationalPosting,2020-10-10,US,United States,TOTAL,94.37
HiringLabNationalPosting,2020-10-11,US,United States,TOTAL,94.69
HiringLabNationalPosting,2020-10-12,US,United States,TOTAL,94.98
HiringLabNationalPosting,2020-10-13,US,United States,TOTAL,95.21
HiringLabNationalPosting,2020-10-14,US,United States,TOTAL,95.38
HiringLabNationalPosting,2020-10-15,US,United States,TOTAL,95.48
HiringLabNationalPosting,2020-10-16,US,United States,TOTAL,95.49
HiringLabNationalPosting,2020-10-17,US,United States,TOTAL,95.42
HiringLabNationalPosting,2020-10-18,US,United States,TOTAL,95.43
HiringLabNationalPosting,2020-10-19,US,United States,TOTAL,95.43
HiringLabNationalPosting,2020-10-20,US,United States,TOTAL,95.55
HiringLabNationalPosting,2020-10-21,US,United States,TOTAL,95.71
HiringLabNationalPosting,2020-10-22,US,United States,TOTAL,95.89
HiringLabNationalPosting,2020-10-23,US,United States,TOTAL,96.06
HiringLabNationalPosting,2020-10-24,US,United States,TOTAL,96.34
HiringLabNationalPosting,2020-10-25,US,United States,TOTAL,96.5
HiringLabNationalPosting,2020-10-26,US,United States,TOTAL,96.67
HiringLabNationalPosting,2020-10-27,US,United States,TOTAL,96.81
HiringLabNationalPosting,2020-10-28,US,United States,TOTAL,96.9
HiringLabNationalPosting,2020-10-29,US,United States,TOTAL,97.02
HiringLabNationalPosting,2020-10-30,US,United States,TOTAL,97.12
HiringLabNationalPosting,2020-10-31,US,United States,TOTAL,97.16
HiringLabNationalPosting,2020-11-01,US,United States,TOTAL,97.21
HiringLabNationalPosting,2020-11-02,US,United States,TOTAL,97.23
HiringLabNationalPosting,2020-11-03,US,United States,TOTAL,97.21
HiringLabNationalPosting,2020-11-04,US,United States,TOTAL,97.22
HiringLabNationalPosting,2020-11-05,US,United States,TOTAL,97.18
HiringLabNationalPosting,2020-11-06,US,United States,TOTAL,97.21
HiringLabNationalPosting,2020-11-07,US,United States,TOTAL,97.29
HiringLabNationalPosting,2020-11-08,US,United States,TOTAL,97.37
HiringLabNationalPosting,2020-11-09,US,United States,TOTAL,97.46
HiringLabNationalPosting,2020-11-10,US,United States,TOTAL,97.55
HiringLabNationalPosting,2020-11-11,US,United States,TOTAL,97.64
HiringLabNationalPosting,2020-11-12,US,United States,TOTAL,97.71
