__typename,dateString,countryCode,countryName,postingType,value
HiringLabNationalPosting,2020-06-02,US,United States,TOTAL,65.58
HiringLabNationalPosting,2020-06-03,US,United States,TOTAL,66.04
HiringLabNationalPosting,2020-06-04,US,United States,TOTAL,66.53
HiringLabNationalPosting,2020-06-05,US,United States,TOTAL,66.88
HiringLabNationalPosting,2020-06-06,US,United States,TOTAL,67.13
HiringLabNationalPosting,2020-06-07,US,United States,TOTAL,67.44
HiringLabNationalPosting,2020-06-08,US,United States,TOTAL,67.7
HiringLabNationalPosting,2020-06-09,US,United States,TOTAL,67.92
HiringLabNationalPosting,2020-06-10,US,United States,TOTAL,68.13
HiringLabNationalPosting,2020-06-11,US,United States,TOTAL,68.35
HiringLabNationalPosting,2020-06-12,US,United States,TOTAL,68.57
HiringLabNationalPosting,2020-06-13,US,United States,TOTAL,68.77
HiringLabNationalPosting,2020-06-14,US,United States,TOTAL,69.07
HiringLabNationalPosting,2020-06-15,US,United States,TOTAL,69.52
HiringLabNationalPosting,2020-06-16,US,United States,TOTAL,69.91
HiringLabNationalPosting,2020-06-17,US,United States,TOTAL,70.3
HiringLabNationalPosting,2020-06-18,US,United States,TOTAL,70.72
HiringLabNationalPosting,2020-06-19,US,United States,TOTAL,71.13
HiringLabNationalPosting,2020-06-20,US,United States,TOTAL,71.64
HiringLabNationalPosting,2020-06-21,US,United States,TOTAL,72.17
HiringLabNationalPosting,2020-06-22,US,United States,TOTAL,72.58
HiringLabNationalPosting,2020-06-23,US,United States,TOTAL,72.77
HiringLabNationalPosting,2020-06-24,US,United States,TOTAL,72.96
HiringLabNationalPosting,2020-06-25,US,United States,TOTAL,73.12
HiringLabNationalPosting,2020-06-26,US,United States,TOTAL,73.21
HiringLabNationalPosting,2020-06-27,US,United States,TOTAL,73.21
HiringLabNationalPosting,2020-06-28,US,United States,TOTAL,73.01
HiringLabNationalPosting,2020-06-29,US,United States,TOTAL,73.18
HiringLabNationalPosting,2020-06-30,US,United States,TOTAL,73.61
HiringLabNationalPosting,2020-07-01,US,United States,TOTAL,74.04
HiringLabNationalPosting,2020-07-02,US,United States,TOTAL,74.28
HiringLabNationalPosting,2020-07-03,US,United States,TOTAL,74.6
