__typename,dateString,countryCode,countryName,postingType,value,source_file,sectorName,sectorCode
HiringLabSectoralPosting,2020-04-30,US,United States,TOTAL,52.26,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-05-01,US,United States,TOTAL,52.08,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-05-02,US,United States,TOTAL,51.94,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-05-03,US,United States,TOTAL,51.76,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-05-04,US,United States,TOTAL,51.62,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-05-05,US,United States,TOTAL,51.5,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-05-06,US,United States,TOTAL,51.41,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-05-07,US,United States,TOTAL,51.38,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-05-08,US,United States,TOTAL,51.41,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-05-09,US,United States,TOTAL,51.47,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-05-10,US,United States,TOTAL,51.59,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-05-11,US,United States,TOTAL,51.65,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-05-12,US,United States,TOTAL,51.68,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-05-13,US,United States,TOTAL,51.37,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-05-14,US,United States,TOTAL,51.19,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-05-15,US,United States,TOTAL,51.23,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
HiringLabSectoralPosting,2020-05-16,US,United States,TOTAL,51.06,accounting_admin-assist_architecture-arts+entertainment_banking+finance_childcare_civilengineering.csv,Accounting,accounting
