label,lag,mae,rmse,model_path
"Job Openings: Health care and social assistance - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.8922170480092365,1.0168570481703028,models_xgb/openings/xgb_Job_Openings_Health_care_and_social_assistance__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Job Openings: Information - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,1.8174742380777997,1.8414386627771389,models_xgb/openings/xgb_Job_Openings_Information__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Job Openings: Information - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,1.6554219245910646,1.6764405068009887,models_xgb/openings/xgb_Job_Openings_Information__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Job Openings: Information - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,2.0608829180399577,2.076629125081591,models_xgb/openings/xgb_Job_Openings_Information__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Job Openings: Information - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,2.1454796314239504,2.1655516290192764,models_xgb/openings/xgb_Job_Openings_Information__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Job Openings: Leisure and hospitality - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,1.2475009123484293,1.3363982916526436,models_xgb/openings/xgb_Job_Openings_Leisure_and_hospitality__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Job Openings: Leisure and hospitality - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,1.1999544461568197,1.2599942694461341,models_xgb/openings/xgb_Job_Openings_Leisure_and_hospitality__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Job Openings: Leisure and hospitality - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,1.1660365422566732,1.2262579359437007,models_xgb/openings/xgb_Job_Openings_Leisure_and_hospitality__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Job Openings: Leisure and hospitality - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,1.469321902592977,1.4914491388436422,models_xgb/openings/xgb_Job_Openings_Leisure_and_hospitality__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Job Openings: Manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.3031954288482665,0.40554948297020693,models_xgb/openings/xgb_Job_Openings_Manufacturing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Job Openings: Manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.25798233350118,0.30818707482413304,models_xgb/openings/xgb_Job_Openings_Manufacturing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Job Openings: Manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.32332491874694824,0.41363923386873097,models_xgb/openings/xgb_Job_Openings_Manufacturing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Job Openings: Manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.29306303660074856,0.3873772750872425,models_xgb/openings/xgb_Job_Openings_Manufacturing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
