label,lag,mae,rmse,order,model_path
"Job Openings: Government - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.24869507968895635,0.274632757212221,"(1, 1, 2)",models_arima/openings/arima_Job_Openings_Government__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Job Openings: Health care and social assistance - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.33467375320976095,0.4251938001709957,"(1, 1, 2)",models_arima/openings/arima_Job_Openings_Health_care_and_social_assistance__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Job Openings: Health care and social assistance - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.33599107559716557,0.42629401015127283,"(1, 1, 2)",models_arima/openings/arima_Job_Openings_Health_care_and_social_assistance__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Job Openings: Health care and social assistance - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.32802539456035024,0.41579552306520196,"(2, 1, 2)",models_arima/openings/arima_Job_Openings_Health_care_and_social_assistance__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Job Openings: Health care and social assistance - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.3276612425540777,0.4153187013684438,"(2, 1, 2)",models_arima/openings/arima_Job_Openings_Health_care_and_social_assistance__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Job Openings: Information - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,1.2250698313411654,1.5154386621345555,"(4, 1, 0)",models_arima/openings/arima_Job_Openings_Information__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Job Openings: Information - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,1.2250086817600148,1.5153722682421014,"(4, 1, 0)",models_arima/openings/arima_Job_Openings_Information__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Job Openings: Information - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,1.226796330084609,1.5172829105262993,"(4, 1, 0)",models_arima/openings/arima_Job_Openings_Information__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Job Openings: Information - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,1.2255103121789308,1.5159162471700085,"(4, 1, 0)",models_arima/openings/arima_Job_Openings_Information__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Job Openings: Leisure and hospitality - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.9036364015393609,1.024370098783871,"(2, 1, 2)",models_arima/openings/arima_Job_Openings_Leisure_and_hospitality__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Job Openings: Leisure and hospitality - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.9164090095072424,1.0361311219573097,"(2, 1, 2)",models_arima/openings/arima_Job_Openings_Leisure_and_hospitality__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Job Openings: Leisure and hospitality - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.9096578270512143,1.0299100109074464,"(2, 1, 2)",models_arima/openings/arima_Job_Openings_Leisure_and_hospitality__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Job Openings: Leisure and hospitality - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.911726935571426,1.0320907774582198,"(2, 1, 2)",models_arima/openings/arima_Job_Openings_Leisure_and_hospitality__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Job Openings: Manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.2440394962734184,0.28846949702378166,"(2, 1, 3)",models_arima/openings/arima_Job_Openings_Manufacturing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Job Openings: Manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.24183269784111036,0.28681903249804785,"(2, 1, 3)",models_arima/openings/arima_Job_Openings_Manufacturing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Job Openings: Manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.24357824585190324,0.28824835188179837,"(2, 1, 3)",models_arima/openings/arima_Job_Openings_Manufacturing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Job Openings: Manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.24332374364040096,0.28804239967739786,"(2, 1, 3)",models_arima/openings/arima_Job_Openings_Manufacturing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Job Openings: Mining and logging - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.5689303609011606,0.7513373504364438,"(0, 1, 1)",models_arima/openings/arima_Job_Openings_Mining_and_logging__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Job Openings: Mining and logging - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.5689173553949763,0.7513264438155329,"(0, 1, 1)",models_arima/openings/arima_Job_Openings_Mining_and_logging__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
