Hires: Total nonfarm in Midwest region,Other separations: Total nonfarm in Midwest region,Hires: Total nonfarm in Northeast region,Job Openings: Total nonfarm in Northeast region,Layoffs and Discharges: Total nonfarm in Northeast region,Other separations: Total nonfarm in Northeast region,Quits: Total nonfarm in Northeast region,Other separations: Total nonfarm in South region,Hires: Total nonfarm in West region,Other separations: Total nonfarm in West region
638.0,63.0,573.0,541.0,342.0,64.0,191.0,90.0,736.0,47.0
817.0,50.0,605.0,501.0,359.0,72.0,226.0,102.0,785.0,57.0
901.0,62.0,794.0,518.0,411.0,58.0,254.0,124.0,946.0,73.0
958.0,63.0,734.0,540.0,380.0,55.0,282.0,94.0,995.0,60.0
973.0,68.0,893.0,578.0,469.0,83.0,302.0,112.0,954.0,76.0
872.0,80.0,806.0,503.0,399.0,72.0,286.0,117.0,1072.0,63.0
977.0,88.0,755.0,528.0,511.0,54.0,319.0,121.0,944.0,64.0
889.0,51.0,769.0,520.0,462.0,41.0,318.0,116.0,952.0,80.0
925.0,59.0,749.0,524.0,393.0,51.0,294.0,95.0,897.0,88.0
709.0,60.0,671.0,436.0,409.0,29.0,220.0,75.0,851.0,57.0
624.0,57.0,505.0,440.0,498.0,54.0,225.0,102.0,630.0,69.0
801.0,87.0,681.0,540.0,411.0,81.0,271.0,140.0,812.0,98.0
742.0,54.0,524.0,490.0,272.0,55.0,206.0,106.0,680.0,71.0
942.0,53.0,677.0,511.0,341.0,50.0,272.0,98.0,873.0,90.0
1104.0,62.0,777.0,728.0,256.0,54.0,315.0,106.0,939.0,70.0
1180.0,80.0,900.0,625.0,312.0,47.0,267.0,130.0,1069.0,72.0
1125.0,102.0,926.0,571.0,383.0,79.0,356.0,128.0,1073.0,83.0
1076.0,81.0,857.0,666.0,438.0,78.0,362.0,135.0,1019.0,89.0
1040.0,87.0,747.0,660.0,427.0,65.0,412.0,126.0,963.0,68.0
951.0,70.0,857.0,594.0,375.0,63.0,357.0,106.0,917.0,62.0
1012.0,64.0,777.0,721.0,421.0,60.0,290.0,101.0,941.0,44.0
794.0,76.0,639.0,566.0,434.0,40.0,224.0,90.0,823.0,55.0
660.0,56.0,550.0,492.0,432.0,51.0,242.0,101.0,705.0,85.0
862.0,127.0,624.0,627.0,402.0,79.0,257.0,144.0,855.0,83.0
857.0,56.0,518.0,586.0,272.0,42.0,225.0,118.0,737.0,59.0
989.0,82.0,736.0,615.0,250.0,38.0,266.0,95.0,855.0,61.0
1146.0,61.0,817.0,679.0,331.0,56.0,284.0,119.0,968.0,72.0
1145.0,74.0,832.0,617.0,312.0,57.0,319.0,104.0,981.0,79.0
1179.0,88.0,912.0,608.0,346.0,66.0,322.0,139.0,1148.0,73.0
1017.0,76.0,891.0,675.0,372.0,81.0,319.0,146.0,1074.0,76.0
1121.0,79.0,711.0,632.0,387.0,58.0,399.0,118.0,1028.0,62.0
1052.0,69.0,803.0,656.0,405.0,50.0,359.0,96.0,1048.0,66.0
1068.0,78.0,728.0,698.0,363.0,72.0,319.0,117.0,972.0,61.0
886.0,43.0,629.0,608.0,364.0,53.0,229.0,89.0,897.0,56.0
687.0,69.0,529.0,542.0,382.0,52.0,218.0,107.0,666.0,66.0
938.0,110.0,726.0,652.0,355.0,102.0,356.0,156.0,894.0,71.0
834.0,56.0,587.0,618.0,254.0,54.0,251.0,102.0,801.0,55.0
1054.0,64.0,672.0,680.0,245.0,62.0,270.0,95.0,897.0,71.0
1085.0,77.0,748.0,796.0,320.0,53.0,335.0,100.0,1078.0,76.0
1193.0,77.0,804.0,708.0,346.0,45.0,307.0,114.0,1121.0,89.0
1207.0,83.0,930.0,677.0,303.0,92.0,357.0,152.0,1089.0,80.0
1019.0,90.0,815.0,719.0,344.0,82.0,350.0,140.0,1097.0,98.0
1145.0,119.0,735.0,802.0,360.0,71.0,445.0,121.0,1082.0,72.0
967.0,76.0,868.0,682.0,416.0,68.0,350.0,116.0,902.0,63.0
997.0,66.0,678.0,763.0,395.0,48.0,289.0,115.0,1077.0,70.0
881.0,64.0,680.0,662.0,389.0,36.0,254.0,104.0,981.0,59.0
676.0,79.0,548.0,609.0,379.0,58.0,251.0,148.0,727.0,67.0
880.0,120.0,681.0,714.0,385.0,87.0,371.0,190.0,917.0,96.0
708.0,59.0,553.0,650.0,220.0,60.0,246.0,106.0,898.0,55.0
890.0,61.0,687.0,730.0,309.0,51.0,247.0,104.0,939.0,72.0
1092.0,71.0,838.0,736.0,321.0,59.0,324.0,117.0,1087.0,76.0
1287.0,81.0,844.0,703.0,277.0,65.0,340.0,145.0,1133.0,82.0
1111.0,92.0,900.0,726.0,347.0,80.0,344.0,152.0,1171.0,103.0
1041.0,90.0,820.0,697.0,353.0,73.0,375.0,144.0,1172.0,88.0
1232.0,94.0,761.0,763.0,427.0,71.0,460.0,135.0,1148.0,97.0
1109.0,79.0,836.0,761.0,408.0,62.0,409.0,106.0,1131.0,66.0
1025.0,43.0,746.0,771.0,312.0,66.0,358.0,96.0,1171.0,70.0
930.0,61.0,637.0,685.0,270.0,44.0,282.0,102.0,989.0,58.0
765.0,70.0,510.0,623.0,395.0,58.0,255.0,130.0,786.0,67.0
885.0,101.0,660.0,679.0,435.0,82.0,346.0,153.0,1006.0,73.0
823.0,67.0,509.0,696.0,207.0,51.0,271.0,107.0,939.0,86.0
982.0,76.0,663.0,742.0,205.0,52.0,292.0,124.0,1038.0,63.0
1299.0,60.0,845.0,859.0,278.0,79.0,350.0,125.0,1165.0,74.0
1366.0,95.0,846.0,833.0,262.0,71.0,341.0,156.0,1151.0,66.0
1220.0,89.0,845.0,853.0,293.0,72.0,351.0,160.0,1393.0,78.0
1173.0,69.0,853.0,864.0,337.0,61.0,406.0,163.0,1228.0,78.0
1178.0,96.0,734.0,920.0,358.0,81.0,454.0,157.0,1207.0,87.0
1173.0,70.0,914.0,861.0,372.0,80.0,432.0,157.0,1278.0,88.0
1191.0,54.0,809.0,902.0,369.0,78.0,374.0,131.0,1290.0,79.0
1084.0,62.0,704.0,728.0,260.0,33.0,292.0,105.0,1002.0,77.0
828.0,73.0,593.0,776.0,482.0,60.0,338.0,176.0,865.0,94.0
1041.0,78.0,677.0,883.0,413.0,91.0,412.0,171.0,1018.0,88.0
918.0,70.0,676.0,902.0,202.0,64.0,285.0,112.0,997.0,61.0
1100.0,67.0,787.0,852.0,221.0,65.0,329.0,93.0,1086.0,87.0
1395.0,97.0,863.0,1030.0,271.0,65.0,384.0,126.0,1214.0,78.0
1379.0,69.0,925.0,963.0,241.0,62.0,392.0,170.0,1233.0,82.0
1308.0,85.0,913.0,825.0,288.0,98.0,410.0,183.0,1401.0,100.0
1113.0,92.0,905.0,1056.0,248.0,78.0,463.0,173.0,1338.0,78.0
1212.0,92.0,873.0,958.0,430.0,72.0,561.0,167.0,1264.0,97.0
1143.0,62.0,922.0,955.0,430.0,74.0,480.0,141.0,1244.0,83.0
1278.0,60.0,901.0,1041.0,311.0,61.0,398.0,145.0,1375.0,74.0
