label,lag,mae,rmse,model_path
"Layoffs and Discharges: Information - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.18333333333333335,0.22375054971432734,models_arima/layoffs/arima_Layoffs_and_Discharges_Information__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Layoffs and Discharges: Information - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.18333333333333335,0.22375496202985032,models_arima/layoffs/arima_Layoffs_and_Discharges_Information__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Layoffs and Discharges: Information - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.18333333333333335,0.22367492691118054,models_arima/layoffs/arima_Layoffs_and_Discharges_Information__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Layoffs and Discharges: Leisure and hospitality - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.6290220562713286,0.7290966611514151,models_arima/layoffs/arima_Layoffs_and_Discharges_Leisure_and_hospitality__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Layoffs and Discharges: Leisure and hospitality - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.631794210535951,0.7319925876087043,models_arima/layoffs/arima_Layoffs_and_Discharges_Leisure_and_hospitality__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Layoffs and Discharges: Leisure and hospitality - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.6273345571332222,0.7273337209668974,models_arima/layoffs/arima_Layoffs_and_Discharges_Leisure_and_hospitality__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Layoffs and Discharges: Leisure and hospitality - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.6450635443104348,0.7459575167750158,models_arima/layoffs/arima_Layoffs_and_Discharges_Leisure_and_hospitality__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Layoffs and Discharges: Manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.13273739448494157,0.16249936096365378,models_arima/layoffs/arima_Layoffs_and_Discharges_Manufacturing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
"Layoffs and Discharges: Manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,0.13460250226178683,0.1642540381948703,models_arima/layoffs/arima_Layoffs_and_Discharges_Manufacturing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
"Layoffs and Discharges: Manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,0.13439769213205158,0.16406720079996806,models_arima/layoffs/arima_Layoffs_and_Discharges_Manufacturing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
"Layoffs and Discharges: Manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,0.1359256443218341,0.16548020683537648,models_arima/layoffs/arima_Layoffs_and_Discharges_Manufacturing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
"Layoffs and Discharges: Mining and logging - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,0.2797499149297133,0.34873651114250115,models_arima/layoffs/arima_Layoffs_and_Discharges_Mining_and_logging__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
