__typename,dateString,countryCode,countryName,sectorCode,sectorName,postingType,value
HiringLabSectoralPosting,2020-02-13,US,United States,driver,Driving,TOTAL,99.92
HiringLabSectoralPosting,2020-02-13,US,United States,math,Data & Analytics,TOTAL,101.76
HiringLabSectoralPosting,2020-02-13,US,United States,meddental,Dental,TOTAL,100.32
HiringLabSectoralPosting,2020-02-13,US,United States,sanitation,Cleaning & Sanitation,TOTAL,98.28
HiringLabSectoralPosting,2020-02-13,US,United States,service,Community & Social Service,TOTAL,101.73
HiringLabSectoralPosting,2020-02-14,US,United States,construction,Construction,TOTAL,101.24
HiringLabSectoralPosting,2020-02-14,US,United States,customer,Customer Service,TOTAL,100.49
HiringLabSectoralPosting,2020-02-14,US,United States,driver,Driving,TOTAL,100.57
HiringLabSectoralPosting,2020-02-14,US,United States,math,Data & Analytics,TOTAL,101.79
HiringLabSectoralPosting,2020-02-14,US,United States,meddental,Dental,TOTAL,100.14
HiringLabSectoralPosting,2020-02-14,US,United States,sanitation,Cleaning & Sanitation,TOTAL,98.32
HiringLabSectoralPosting,2020-02-14,US,United States,service,Community & Social Service,TOTAL,101.65
HiringLabSectoralPosting,2020-02-15,US,United States,construction,Construction,TOTAL,101.33
HiringLabSectoralPosting,2020-02-15,US,United States,customer,Customer Service,TOTAL,100.12
HiringLabSectoralPosting,2020-02-15,US,United States,driver,Driving,TOTAL,100.69
HiringLabSectoralPosting,2020-02-15,US,United States,math,Data & Analytics,TOTAL,101.66
HiringLabSectoralPosting,2020-02-15,US,United States,meddental,Dental,TOTAL,99.99
HiringLabSectoralPosting,2020-02-15,US,United States,sanitation,Cleaning & Sanitation,TOTAL,98.29
HiringLabSectoralPosting,2020-02-15,US,United States,service,Community & Social Service,TOTAL,101.58
HiringLabSectoralPosting,2020-02-16,US,United States,construction,Construction,TOTAL,101.47
HiringLabSectoralPosting,2020-02-16,US,United States,customer,Customer Service,TOTAL,99.81
HiringLabSectoralPosting,2020-02-16,US,United States,driver,Driving,TOTAL,100.83
HiringLabSectoralPosting,2020-02-16,US,United States,math,Data & Analytics,TOTAL,101.66
HiringLabSectoralPosting,2020-02-16,US,United States,meddental,Dental,TOTAL,100
HiringLabSectoralPosting,2020-02-16,US,United States,sanitation,Cleaning & Sanitation,TOTAL,98.3
HiringLabSectoralPosting,2020-02-16,US,United States,service,Community & Social Service,TOTAL,101.64
HiringLabSectoralPosting,2020-02-17,US,United States,construction,Construction,TOTAL,101.76
HiringLabSectoralPosting,2020-02-17,US,United States,customer,Customer Service,TOTAL,99.46
HiringLabSectoralPosting,2020-02-17,US,United States,driver,Driving,TOTAL,100.95
HiringLabSectoralPosting,2020-02-17,US,United States,math,Data & Analytics,TOTAL,101.58
HiringLabSectoralPosting,2020-02-17,US,United States,meddental,Dental,TOTAL,99.98
HiringLabSectoralPosting,2020-02-17,US,United States,sanitation,Cleaning & Sanitation,TOTAL,98.3
HiringLabSectoralPosting,2020-02-17,US,United States,service,Community & Social Service,TOTAL,101.68
HiringLabSectoralPosting,2020-02-18,US,United States,construction,Construction,TOTAL,102.16
HiringLabSectoralPosting,2020-02-18,US,United States,customer,Customer Service,TOTAL,99.17
HiringLabSectoralPosting,2020-02-18,US,United States,driver,Driving,TOTAL,101.05
HiringLabSectoralPosting,2020-02-18,US,United States,math,Data & Analytics,TOTAL,101.5
HiringLabSectoralPosting,2020-02-18,US,United States,meddental,Dental,TOTAL,99.98
HiringLabSectoralPosting,2020-02-18,US,United States,sanitation,Cleaning & Sanitation,TOTAL,98.37
HiringLabSectoralPosting,2020-02-18,US,United States,service,Community & Social Service,TOTAL,101.76
HiringLabSectoralPosting,2020-02-19,US,United States,construction,Construction,TOTAL,102.52
HiringLabSectoralPosting,2020-02-19,US,United States,customer,Customer Service,TOTAL,98.89
HiringLabSectoralPosting,2020-02-19,US,United States,driver,Driving,TOTAL,101.16
HiringLabSectoralPosting,2020-02-19,US,United States,math,Data & Analytics,TOTAL,101.46
HiringLabSectoralPosting,2020-02-19,US,United States,meddental,Dental,TOTAL,99.98
