Date,Hires: Nondurable Goods Manufacturing
2012-05-01,110.0
2012-06-01,109.0
2012-07-01,102.0
2012-08-01,96.0
2012-09-01,96.0
2012-10-01,93.0
2012-11-01,88.0
2012-12-01,83.0
2013-01-01,97.0
2013-02-01,97.0
2013-03-01,77.0
2013-04-01,91.0
2013-05-01,114.0
2013-06-01,94.0
2013-07-01,97.0
2013-08-01,109.0
2013-09-01,102.0
2013-10-01,89.0
2013-11-01,111.0
2013-12-01,106.0
2014-01-01,106.0
2014-02-01,99.0
2014-03-01,107.0
2014-04-01,101.0
2014-05-01,97.0
2014-06-01,109.0
2014-07-01,113.0
2014-08-01,103.0
2014-09-01,127.0
2014-10-01,114.0
2014-11-01,103.0
2014-12-01,116.0
2015-01-01,102.0
2015-02-01,106.0
2015-03-01,111.0
2015-04-01,111.0
2015-05-01,110.0
2015-06-01,113.0
2015-07-01,106.0
2015-08-01,106.0
2015-09-01,116.0
2015-10-01,129.0
2015-11-01,121.0
2015-12-01,112.0
2016-01-01,115.0
2016-02-01,116.0
2016-03-01,106.0
2016-04-01,117.0
2016-05-01,115.0
2016-06-01,125.0
2016-07-01,115.0
2016-08-01,121.0
2016-09-01,125.0
2016-10-01,123.0
2016-11-01,123.0
2016-12-01,130.0
2017-01-01,137.0
2017-02-01,142.0
2017-03-01,148.0
2017-04-01,152.0
2017-05-01,152.0
2017-06-01,140.0
2017-07-01,146.0
2017-08-01,151.0
2017-09-01,139.0
2017-10-01,152.0
2017-11-01,146.0
2017-12-01,147.0
2018-01-01,153.0
2018-02-01,158.0
2018-03-01,144.0
2018-04-01,151.0
2018-05-01,160.0
2018-06-01,164.0
2018-07-01,166.0
2018-08-01,166.0
2018-09-01,142.0
2018-10-01,160.0
2018-11-01,161.0
2018-12-01,157.0
2019-01-01,164.0
2019-02-01,148.0
2019-03-01,157.0
2019-04-01,149.0
2019-05-01,150.0
2019-06-01,146.0
2019-07-01,147.0
2019-08-01,146.0
2019-09-01,152.0
2019-10-01,135.0
2019-11-01,143.0
2019-12-01,140.0
2020-01-01,139.0
2020-02-01,139.0
2020-03-01,139.0
2020-04-01,153.0
2020-05-01,260.0
2020-06-01,215.0
2020-07-01,155.0
2020-08-01,175.0
2020-09-01,163.0
2020-10-01,163.0
2020-11-01,179.0
2020-12-01,196.0
2021-01-01,153.0
2021-02-01,182.0
2021-03-01,186.0
2021-04-01,178.0
2021-05-01,185.0
2021-06-01,191.0
2021-07-01,217.0
2021-08-01,209.0
2021-09-01,227.0
2021-10-01,212.0
2021-11-01,232.0
2021-12-01,226.0
2022-01-01,217.0
2022-02-01,226.0
2022-03-01,238.0
2022-04-01,227.0
2022-05-01,209.0
2022-06-01,228.0
2022-07-01,193.0
2022-08-01,197.0
2022-09-01,181.0
2022-10-01,201.0
2022-11-01,189.0
2022-12-01,165.0
2023-01-01,207.0
2023-02-01,205.0
2023-03-01,178.0
2023-04-01,184.0
2023-05-01,206.0
2023-06-01,192.0
2023-07-01,193.0
2023-08-01,189.0
2023-09-01,174.0
2023-10-01,162.0
2023-11-01,155.0
2023-12-01,165.0
2024-01-01,176.0
2024-02-01,148.0
2024-03-01,139.0
2024-04-01,154.0
2024-05-01,143.0
2024-06-01,143.0
2024-07-01,151.0
2024-08-01,134.0
2024-09-01,156.0
2024-10-01,158.0
2024-11-01,147.0
2024-12-01,145.0
2025-01-01,138.0
2025-02-01,127.0
2025-03-01,134.0
2025-04-01,136.0
2025-05-01,119.0
2025-06-01,121.0
2025-07-01,129.0
