Date,Hires: Manufacturing
2018-12-01,346.0
2019-01-01,353.0
2019-02-01,335.0
2019-03-01,343.0
2019-04-01,349.0
2019-05-01,339.0
2019-06-01,324.0
2019-07-01,330.0
2019-08-01,334.0
2019-09-01,345.0
2019-10-01,310.0
2019-11-01,360.0
2019-12-01,339.0
2020-01-01,318.0
2020-02-01,353.0
2020-03-01,309.0
2020-04-01,359.0
2020-05-01,628.0
2020-06-01,478.0
2020-07-01,347.0
2020-08-01,400.0
2020-09-01,385.0
2020-10-01,393.0
2020-11-01,414.0
2020-12-01,449.0
2021-01-01,360.0
2021-02-01,404.0
2021-03-01,438.0
2021-04-01,382.0
2021-05-01,408.0
2021-06-01,447.0
2021-07-01,476.0
2021-08-01,474.0
2021-09-01,501.0
2021-10-01,496.0
2021-11-01,494.0
2021-12-01,487.0
2022-01-01,480.0
2022-02-01,497.0
2022-03-01,516.0
2022-04-01,504.0
2022-05-01,449.0
2022-06-01,476.0
2022-07-01,432.0
2022-08-01,476.0
2022-09-01,398.0
2022-10-01,436.0
2022-11-01,422.0
2022-12-01,407.0
2023-01-01,433.0
2023-02-01,444.0
2023-03-01,391.0
2023-04-01,382.0
2023-05-01,432.0
2023-06-01,391.0
2023-07-01,393.0
2023-08-01,383.0
2023-09-01,383.0
2023-10-01,364.0
2023-11-01,352.0
2023-12-01,354.0
2024-01-01,384.0
2024-02-01,324.0
2024-03-01,315.0
2024-04-01,384.0
2024-05-01,350.0
2024-06-01,327.0
2024-07-01,348.0
2024-08-01,302.0
2024-09-01,355.0
2024-10-01,320.0
2024-11-01,302.0
2024-12-01,300.0
2025-01-01,332.0
2025-02-01,318.0
2025-03-01,319.0
2025-04-01,330.0
2025-05-01,279.0
2025-06-01,293.0
2025-07-01,314.0
